"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices"
"ToyotaHiaceVanDX5DOORAUTO2004";"2004";156817;" Van";" 2000cc petrol engine";" automatic";16999
"ToyotaCamrySport2011";"2011";85000;" Sedan";" 2362cc petrol engine";" automatic";16995
"ToyotaCorollaGlx2007";"2007";84000;" Hatchback";" 1798cc petrol engine";" automatic";8999
"ToyotaLandCruiser80Series1997";"1997";234000;" Station Wagon";" 4164cc diesel engine";" manual";22000
"ToyotaHiace-from$110.89weekly-Penro...2011";"2011";104425;" Van";" 3000cc diesel engine";" automatic";22979
"ToyotaCorollaGl2005";"2005";309033;" Station Wagon";" 1794cc petrol engine";" manual";3500
"ToyotaHiluxSurfSSR-X1996";"1996";227000;" Station Wagon";" 2980cc diesel engine";" automatic";9700
"ToyotaVitz-from$32.29weekly-Hamilto...2006";"2006";98056;" Hatchback";" 1300cc petrol engine";" automatic";5479
"ToyotaHiace-from$83.94weekly-Penros...2009";"2009";88703;" Van";" 2000cc petrol engine";" automatic";16979
"ToyotaVellfire350ZEXECUTIVELOUNGETOP...2015";"2015";NA;" 3500cc petrol engine";" automatic";NA;109990
"ToyotaCorollaRunx1800ccOnly24570kms2004";"2004";24570;" Hatchback";" 1794cc petrol engine";" automatic";11999
"ToyotaRAV4,,,NewShape,,,LowKms,,,2006";"2006";69035;" RV/SUV";" 2400cc petrol engine";" automatic";13295
"ToyotaWish2005";"2005";86856;" Station Wagon";" 1794cc petrol engine";" automatic";9990
"ToyotaHiace-from$83.94weekly-Penros...2007";"2007";88049;" Van";" 2000cc petrol engine";" manual";16979
"ToyotaVellfire350ZEXECUTIVELOUNGETOP...2015";"2015";NA;" 3500cc petrol engine";" tiptronic";NA;108000
"ToyotaBladeFACELIFTLOW69KMBLACK!!!2010";"2010";69500;" Hatchback";" 2400cc petrol engine";" automatic";14480
"ToyotaCaldinaALLOYWHEELS,REVERSINGCAMERA2005";"2005";58550;" Station Wagon";" 1794cc petrol engine";" automatic";8750
"ToyotaHiluxSR54wdManual2014";"2014";57400;" RV/SUV";" 2982cc diesel engine";" manual";41990
"ToyotaRushX2007";"2007";41535;" RV/SUV";" 1500cc petrol engine";" automatic";11990
"ToyotaBlade2.4G9SRS53KLOWKM2007";"2007";53876;" Hatchback";" 2360cc petrol engine";" automatic";8990
"ToyotaAuris1500cclowmileage2007";"2007";75220;" Hatchback";" 1500cc petrol engine";" automatic";8700
"ToyotaCaldina1.8ZLEditionfrom$52pw2005";"2005";136492;" Station Wagon";" 1800cc petrol engine";" automatic";5990
"ToyotaEstimaAeras2009";"2009";83601;" Station Wagon";" 2360cc petrol engine";" automatic";23500
"ToyotaLandCruiserLwbC/C1998";"1998";341368;" Ute";" 4164cc diesel engine";" manual";19000
"ToyotaIpsum#Campervan1997";"1997";249000;" Station Wagon";" 2000cc petrol engine";" automatic";3450
"ToyotaHiace2008";"2008";258013;" Van";" 2982cc diesel engine";" automatic";19990
"ToyotaHiluxSR5PreRunner2016";"2016";9000;" Ute";" 2800cc diesel engine";" automatic";39990
"ToyotaCamrySportivo2005";"2005";183968;" Sedan";" 2995cc petrol engine";" automatic";4800
"ToyotaCorollaRunxLOWKMSAAAPPRAISED2006";"2006";47025;" Hatchback";" 1500cc petrol engine";" automatic";7600
"ToyotaRaum1.5LCamchaineEllectricDoor...2005";"2005";33300;" Hatchback";" 1490cc petrol engine";" automatic";6490
"ToyotaPrius1.8LWhiteHybridwithalloyw...2011";"2011";110993;" Hatchback";" 1797cc petrol engine";" automatic";12990
"ToyotaHighlander3.5GXLAWD2016";"2016";10988;" RV/SUV";" 3456cc petrol engine";" tiptronic";54990
"ToyotaCorollaGXAutomatic2010";"2010";103500;" Hatchback";" 1798cc petrol engine";" automatic";12875
"ToyotaRunxRUNXLowKmNoDepositFinance2005";"2005";49000;" Hatchback";" 1490cc petrol engine";" automatic";7390
"ToyotaVitz/YARIS2006";"2006";63000;" Hatchback";" 1300cc petrol engine";" automatic";6490
"ToyotaCamryAtaraSl2015";"2015";38000;" Sedan";" 2494cc hybrid engine";" automatic";40000
"ToyotaVellfireEXECUTIVELOUNGE350V62015";"2015";2500;" Van";" 3500cc";" tiptronic";99995
"ToyotaAllex2004";"2004";94000;" Hatchback";" 1494cc petrol engine";" automatic";6000
"ToyotaYarisYr2012";"2012";26690;" Hatchback";" 1298cc petrol engine";" automatic";13900
"ToyotaHiluxSr5TdDc2WD2016";"2016";24500;" Ute";" 2755cc diesel engine";" automatic";44000
"ToyotaPrius2010";"2010";62200;" Hatchback";" 1798cc hybrid engine";" automatic";15900
"ToyotaPriusEX,1500cc,GoodK's2011";"2011";51000;" Hatchback";" 1500cc hybrid engine";" automatic";11990
"ToyotaPriusLatemodelW2011";"2011";65300;" Hatchback";" 1500cc petrol engine";" automatic";11900
"ToyotaCoronaSelect1992";"1992";214533;" Sedan";" 1838cc petrol engine";" automatic";1600
"ToyotaSienta-from$30.04weekly-Penro...2004";"2004";95708;" Hatchback";" 1500cc petrol engine";" automatic";4979
"ToyotaRactisG-Lpackage2006";"2006";96313;" Hatchback";" 1500cc petrol engine";" tiptronic";8995
"ToyotaVITZRSSportAut2007";"2007";107851;" Hatchback";" 1500cc petrol engine";" automatic";8900
"ToyotaRactisG2006";"2006";73379;" Hatchback";" 1500cc petrol engine";" tiptronic";8995
"ToyotaTownace1992";"1992";205017;" Other";" 1974cc diesel engine";" manual";10000
"ToyotaBlade2400CCLOW59KMSPECIAL!!2007";"2007";59800;" Hatchback";" 2400cc petrol engine";" automatic";10980
"ToyotaVitz-from$34.53weekly-Welling...2005";"2005";89876;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaWish2005";"2005";101729;" RV/SUV";" 1794cc petrol engine";" automatic";5000
"ToyotaCaldina2004";"2004";47398;" Station Wagon";" 1800cc petrol engine";" automatic";7479
"ToyotaHiaceDIESELTURBO_GLPACKAGE_CAMERA2008";"2008";222000;" Van";" 3000cc diesel engine";" automatic";18500
"ToyotaCamryGlx2006";"2006";143387;" Sedan";" 2362cc petrol engine";" automatic";8500
"ToyotaHiaceDXLONG_5DOORS_ONLY101KM2007";"2007";101000;" Van";" 2000cc petrol engine";" automatic";16998
"ToyotaCamryGl2010";"2010";72000;" Sedan";" 2362cc petrol engine";" automatic";525037
"ToyotaCaldina1YEARFREEWARRANTY2006";"2006";92008;" RV/SUV";" 1998cc petrol engine";" automatic";400049
"ToyotaCorollaRunx2006";"2006";55284;" Hatchback";" 1496cc petrol engine";" automatic";8995
"ToyotaCorolla2006";"2006";77250;" Sedan";" 1500cc petrol engine";" automatic";7490
"ToyotaTownace1995";"1995";218221;" Van";" 1974cc diesel engine";" manual";8700
"ToyotaMarkX2006";"2006";66178;" Sedan";" 2499cc petrol engine";" automatic";515043
"ToyotaAvensisWagon2.0Xipackagefrom$32pw2004";"2004";223747;" Station Wagon";" 2000cc petrol engine";" automatic";4590
"ToyotaWish2004";"2004";42803;" RV/SUV";" 1794cc petrol engine";" automatic";8500
"ToyotaAlphardV2007";"2007";123479;" RV/SUV";" 2994cc petrol engine";" automatic";13500
"ToyotaCaldinaWagon1.8ZTSportsAlloys...2004";"2004";84000;" Station Wagon";" 1800cc petrol engine";" automatic";8494
"ToyotaCamryATARAS*2.5P*(NZNEW)2013";"2013";68792;" Sedan";" 2494cc petrol engine";" automatic";18995
"ToyotaHiaceTURBODIESEL_DXLONG2008";"2008";179000;" Van";" 3000cc diesel engine";" automatic";18500
"ToyotaLandCruiserPradoSWB1996";"1996";204194;" Station Wagon";" 2982cc diesel engine";" automatic";13990
"ToyotaBrevis2002";"2002";150000;" Sedan";" 3000cc petrol engine";" automatic";4000
"ToyotaCorollaFielder1.5Xfrom$56pw2008";"2008";129985;" Station Wagon";" 1500cc petrol engine";" automatic";6995
"ToyotaVoxyNoah2.0Z2005";"2005";108000;" Van";" 2000cc petrol engine";" automatic";8450
"ToyotaHiace-from$79.45weekly-Penros...2007";"2007";98280;" Van";" 2000cc petrol engine";" automatic";15979
"ToyotaWish1.8XFinancefrom$45pw2007";"2007";132807;" Van";" 1800cc petrol engine";" automatic";5490
"ToyotaIst-from$34.53weekly-Penrose...2004";"2004";87842;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaEstimaT2001";"2001";172730;" RV/SUV";" 2994cc petrol engine";" automatic";5980
"ToyotaMarkXZIO2407SEATER2010";"2010";97597;" Van";" 2400cc petrol engine";" automatic";13995
"ToyotaRAV4Limited4WD2.4SUV2006";"2006";91845;" Station Wagon";" 2362cc petrol engine";" automatic";17990
"ToyotaCorollaGXFWD1.8PHatch2014";"2014";38766;" Hatchback";" 1798cc petrol engine";" manual";18990
"ToyotaMark-from$39.02weekly-Wairau...2007";"2007";123786;" Sedan";" 2500cc petrol engine";" automatic";6979
"ToyotaCorollaGX1.8Hatch2016";"2016";15595;" Hatchback";" 1798cc petrol engine";" automatic";25990
"ToyotaAlphard*Was$159908SeaterSpoile...2005";"2005";92460;" Van";" 2360cc petrol engine";" automatic";14850
"ToyotaRAV4Limited4WD2.4SUV2011";"2011";49760;" Station Wagon";" 2362cc petrol engine";" automatic";22990
"ToyotaPrius1.8SHatchSignatureClass2011";"2011";69430;" Hatchback";" 1797cc petrol engine";" automatic";20990
"ToyotaWish2005";"2005";105000;" RV/SUV";" 2000cc petrol engine";NA;8750
"ToyotaHiaceZXHiRoof2015";"2015";NA;" 2693cc petrol engine";" automatic";NA;49500
"ToyotaCorolla1.5PWagon5Dr5M2008";"2008";95600;" Station Wagon";" 1496cc petrol engine";" manual";8990
"ToyotaHiluxDoubleCab2WD2009";"2009";127716;" Ute";" 3000cc diesel engine";" manual";21990
"ToyotaCorolla1994";"1994";307000;" Hatchback";" 1295cc petrol engine";" manual";1350
"ToyotaVitzF2011";"2011";88224;" Hatchback";" 1300cc petrol engine";" automatic";12995
"ToyotaCaldinaZTModelNiceCarbackcamera2007";"2007";85319;" Station Wagon";" 1998cc petrol engine";" automatic";9800
"ToyotaVitzECHOUED1300CCLOW66KM2005";"2005";66500;" Hatchback";" 1300cc petrol engine";" automatic";6480
"ToyotaHiace11SeaterMINIBUS2005";"2005";172000;" Van";" 2000cc petrol engine";" manual";21850
"ToyotaRactis1.52006";"2006";83000;" Hatchback";" 1496cc petrol engine";" automatic";5950
"ToyotaWish**MegWheels**RevCamera**2005";"2005";104000;" Station Wagon";" 1800cc petrol engine";" automatic";5990
"ToyotaRAV4GxlSuv2013";"2013";4200;" RV/SUV";" 2494cc petrol engine";" automatic";38500
"ToyotaYarisT1302009";"2009";68552;" Hatchback";" 1298cc petrol engine";" automatic";9000
"ToyotaMarkIIGrande1994";"1994";173921;" Sedan";" 1980cc petrol engine";" automatic";500.0021
"ToyotaHiluxSurf3.0SSR-X1994";"1994";180900;" Station Wagon";" 2980cc diesel engine";" manual";12000
"ToyotaCaldinaTzNoDepositFinance1996";"1996";215000;" Station Wagon";" 1998cc petrol engine";" automatic";3999
"ToyotaWish2008";"2008";59000;" Van";" 1800cc petrol engine";" automatic";8199
"ToyotaYaris1.3LAUTOHATCH,(NZNEW)5DOOR2011";"2011";84305;" Hatchback";" 1298cc petrol engine";" automatic";8995
"ToyotaRAV4GMODELLOW75KMPEARL!!!2006";"2006";75500;" RV/SUV";" 2400cc petrol engine";" automatic";14890
"ToyotaHiaceRegiusAce2009";"2009";110000;" Van";" 1998cc petrol engine";" automatic";19000
"ToyotaAvensisWagon2.4L2006";"2006";87565;" Station Wagon";" 2362cc petrol engine";" automatic";20207
"ToyotaAvensis2.0Auto2015";"2015";10892;" Station Wagon";" 1987cc petrol engine";" automatic";34990
"ToyotaRAV4Ltd2007";"2007";99007;" RV/SUV";" 2362cc petrol engine";" automatic";16900
"ToyotaCelicaGt-Four1996";"1996";227000;" Coupe";" 1990cc petrol engine";" manual";13900
"ToyotaHiluxDoubleCab2wd2012";"2012";113085;" Ute";" 3000cc diesel engine";" manual";26490
"ToyotaVitz1.5LVVT-i(ToyotaYaris)2011";"2011";71000;" Hatchback";" 1500cc petrol engine";" automatic";11500
"ToyotaRAV4Ltd2007";"2007";203368;" RV/SUV";" 2362cc petrol engine";" automatic";13500
"ToyotaYarisGx2016";"2016";1132;" Hatchback";" 1299cc petrol engine";" automatic";19999
"ToyotaRAV42005";"2005";250181;" RV/SUV";" 2362cc petrol engine";" automatic";10000
"ToyotaVitz6AirbagsFaceliftLowKms2009";"2009";36350;" Hatchback";" 1300cc petrol engine";" automatic";7950
"ToyotaYarisYRFWD1.3PHatch/55MT(YCHM...2013";"2013";58442;" Hatchback";" 1298cc petrol engine";" manual";13850
"ToyotaOther1992";"1992";357040;" Station Wagon";" 4470cc petrol engine";" automatic";50001
"ToyotaCorollaGl2007";"2007";144900;" Hatchback";" 1794cc petrol engine";" automatic";8995
"ToyotaVitzYaris2008";"2008";13000;" Hatchback";" 1300cc petrol engine";" automatic";4260126
"ToyotaCorolla1.8PGLXSEDAN44A2012";"2012";60932;" Sedan";" 1798cc petrol engine";" automatic";16995
"ToyotaLiteaceVan2004";"2004";152330;" Van";" 1781cc petrol engine";" automatic";5500
"ToyotaHighlanderKlugerV63.5LAWD7sea...2015";"2015";21513;" RV/SUV";" 3500cc petrol engine";" automatic";42450
"ToyotaLandCruiserLandcruiser4.2Diesel...1992";"1992";202000;" RV/SUV";" 4160cc diesel engine";" automatic";11995
"ToyotaMarkX250GAlloysElectricSeatRe...2005";"2005";80050;" Sedan";" 2490cc petrol engine";" automatic";7995
"ToyotaCorollaFielder1.52006";"2006";85838;" Station Wagon";" 1496cc petrol engine";" automatic";7995
"ToyotaCorolla1997";"1997";194994;" Sedan";" 1490cc petrol engine";" automatic";2500
"ToyotaAuris2008";"2008";36256;" Hatchback";" 1500cc petrol engine";" automatic";9999
"ToyotaAurisFacelifeCorollaHatchPearl...2010";"2010";39875;" Hatchback";" 1500cc petrol engine";" automatic";12689
"ToyotaAxioCorollaGwithReversingCam,...2007";"2007";42125;" Sedan";" 1500cc petrol engine";" automatic";8249
"ToyotaAuris1.8SPORTS1YEARFREEWARRANTY2007";"2007";63856;" Hatchback";" 1797cc petrol engine";" automatic";605042
"ToyotaNoah2.0SModelfrom$45pw2004";"2004";127236;" Van";" 2000cc petrol engine";" automatic";5990
"ToyotaKluger3.0S2004";"2004";90000;" RV/SUV";" 3000cc petrol engine";" automatic";9990
"ToyotaLandCruiserPradoLandcruiser1996";"1996";258931;" RV/SUV";" 2980cc diesel engine";" automatic";13995
"ToyotaBlade2007";"2007";34200;" Hatchback";" 2362cc petrol engine";" automatic";11999
"ToyotaCamryGS2.21995";"1995";342500;" Station Wagon";" 2200cc petrol engine";" manual";2250
"ToyotaRunxX2004";"2004";86261;" Hatchback";" 1496cc petrol engine";" automatic";6500
"ToyotaCorolla-from$36.78weekly-Penr...2005";"2005";76317;" Hatchback";" 1500cc petrol engine";" automatic";6479
"ToyotaCaldina2006";"2006";124235;" Station Wagon";" 1794cc petrol engine";" automatic";7000
"ToyotaHiace3LManualTurboDiesel2007";"2007";207379;" Van";" 2980cc diesel engine";" manual";21000
"ToyotaCurren1994";"1994";308000;" Coupe";" 2000cc petrol engine";" manual";2500
"ToyotaPriusAAAPPRAISEDNEWTYRESSMODEL2011";"2011";101130;" Hatchback";" 1800cc hybrid engine";" automatic";11800
"ToyotaMark-from$41.27weekly-Welling...2005";"2005";102892;" Sedan";" 2500cc petrol engine";" automatic";7479
"ToyotaRAV42.4PAutomatic5DoorWagon2005";"2005";115700;" Station Wagon";" 2362cc petrol engine";" automatic";13995
"ToyotaFielder1.8StationWagonPriceto...2007";"2007";101674;" Station Wagon";" 1800cc petrol engine";" automatic";8495
"ToyotaHarrier240GLPACKAGE2004";"2004";63911;" RV/SUV";" 2400cc petrol engine";" automatic";15990
"ToyotaHiace5Door2012";"2012";131216;" Van";" 2000cc petrol engine";" automatic";20990
"ToyotaPrius2011";"2011";62809;" Hatchback";" 1800cc hybrid engine";" automatic";15990
"ToyotaRAV4G2WD2006";"2006";82036;" RV/SUV";" 2400cc petrol engine";" automatic";15990
"ToyotaRAV4Ltd2010";"2010";178000;" RV/SUV";" 2362cc petrol engine";" automatic";14250
"ToyotaBB-from$30.04weekly-Hamilton...2005";"2005";118645;" Hatchback";" 1500cc petrol engine";" automatic";4979
"ToyotaStarletSoleilL1992";"1992";68242;" Hatchback";" 1330cc petrol engine";" automatic";2750
"ToyotaMark-XZIO240F7SEATERR/CAM2007";"2007";86458;" Van";" 2400cc petrol engine";" automatic";12980
"ToyotaTruenoGT-ZSupercharged1987";"1987";25664;" Coupe";" 1600cc petrol engine";" manual";17990
"ToyotaCamryGLTDCRUISECTRLTOPSPECS2006";"2006";63952;" Sedan";" 2400cc petrol engine";" automatic";10980
"ToyotaPrius2010";"2010";19500;" Hatchback";" 1798cc hybrid engine";" automatic";19999
"ToyotaCaldina-from$39.02weekly-Perf...2005";"2005";104997;" Station Wagon";" 1800cc petrol engine";" tiptronic";6979
"ToyotaAxio2007";"2007";39350;" Sedan";" 1500cc petrol engine";" automatic";7999
"ToyotaVitz-from$34.53weekly-Hamilto...2006";"2006";56247;" Hatchback";" 1290cc petrol engine";" automatic";5979
"ToyotaMarkX2005";"2005";73000;" Sedan";" 2490cc petrol engine";" automatic";9000
"ToyotaCrownMajesta4.3L2004";"2004";120000;" Sedan";" 4300cc petrol engine";" automatic";12450
"ToyotaVitz8AirbagsTouringfoglamps2007";"2007";81558;" Hatchback";" 1290cc petrol engine";" automatic";6490
"ToyotaAurisPushStartKey-lessEntry!All...2007";"2007";73911;" Hatchback";" 1500cc petrol engine";" automatic";8950
"ToyotaHiace1997";"1997";226758;" Van";" 2779cc diesel engine";" manual";40001
"ToyotaMarkX2005";"2005";89901;" Sedan";" 2500cc petrol engine";" automatic";8490
"ToyotaRAV4GxSuv2015";"2015";34523;" RV/SUV";" 1986cc petrol engine";" automatic";29490
"ToyotaVitz2000";"2000";94182;" Hatchback";" 997cc petrol engine";NA;4100
"ToyotaHiluxTdD/C2000";"2000";264000;" Ute";" 2982cc diesel engine";" manual";16000
"ToyotaHiluxS/CFlatDeck2005";"2005";128234;" Ute";" 2986cc diesel engine";" manual";16500
"ToyotaVitzOnly14850kmsNoDepositFinance2007";"2007";14850;" Hatchback";" 1300cc petrol engine";" automatic";10999
"ToyotaAuris180GSPackage2007";"2007";94800;" Hatchback";" 1800cc petrol engine";" automatic";10980
"ToyotaEstimaEmina1996";"1996";293165;" Van";" 2438cc petrol engine";" automatic";4500
"ToyotaAurisSSports2007";"2007";105462;" Hatchback";" 1800cc petrol engine";" automatic";9900
"ToyotaTownace2.0TDHighRoofSuperExtra1993";"1993";15300;" Van";" 2000cc diesel engine";" automatic";11950
"ToyotaEstima2000";"2000";268051;" RV/SUV";" 2362cc petrol engine";" automatic";4100
"ToyotaLandCruiserVx1996";"1996";407196;" Station Wagon";" 4160cc diesel engine";" automatic";11000
"ToyotaWindom3.0G2000";"2000";214870;" Sedan";" 2994cc petrol engine";" automatic";2800
"ToyotaVoxyNoah2.04WD*8seats*2005";"2005";131000;" Van";" 2000cc petrol engine";" automatic";7450
"ToyotaCorollaGLX2011";"2011";24140;" Hatchback";" 1798cc petrol engine";" automatic";15850
"ToyotaVitzSmartKeyAlloysNewtyres2007";"2007";55471;" Hatchback";" 1290cc petrol engine";" automatic";6750
"ToyotaHilux3.0TD2WDD/CUTE5M2008";"2008";154016;" Ute";" 2982cc diesel engine";" manual";23995
"ToyotaAllex-from$36.78weekly-NewLy...2005";"2005";60055;" Hatchback";" 1500cc petrol engine";" automatic";6479
"ToyotaCamryAltise2005";"2005";128566;" Sedan";" 2362cc petrol engine";" automatic";5990
"ToyotaCaldina1800CCLOW74KMSPECIAL!2005";"2005";74500;" Station Wagon";" 1800cc petrol engine";" automatic";8980
"ToyotaHiaceSr5Bus1993";"1993";468391;" Van";" 2438cc petrol engine";" manual";4000
"ToyotaBlade*LowKs*2009";"2009";23700;" Hatchback";" 2400cc petrol engine";" automatic";12500
"ToyotaRAV4LimitedAWD2.5PPetrolSUV/5...2015";"2015";23488;" Station Wagon";" 2494cc petrol engine";" automatic";41990
"ToyotaAuris1800CCSPORTLOW64KMPEARL!2007";"2007";64800;" Hatchback";" 1800cc petrol engine";" automatic";10890
"ToyotaAvensis2005";"2005";133000;" Sedan";" 2362cc petrol engine";" automatic";6100
"ToyotaHiluxS/CC/C1999";"1999";294000;" Ute";" 2986cc diesel engine";" manual";8000
"ToyotaHiaceRegiusAce2008";"2008";176000;" Van";" 1998cc petrol engine";" automatic";15500
"ToyotaMarkXZio2008";"2008";121000;" Station Wagon";" 2400cc petrol engine";" automatic";11985
"ToyotaHiaceZl2015";"2015";9000;" Van";" 2694cc petrol engine";" manual";36000
"ToyotaHilux3LitreDiesel1999";"1999";411800;" Ute";" 3000cc diesel engine";" manual";7750
"ToyotaCorollaGX2009";"2009";134772;" Hatchback";" 1798cc petrol engine";" manual";8900
